mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.6,northern Alaska,1699574320362,1699574475288,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023ee194el,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023ee194el&format=geojson,,,,,automatic,0,39,ak,023ee194el,",ak023ee194el,",",ak,",",origin,phase-data,",,,1.14,,ml,earthquake,M 1.6 - northern Alaska
0.68,"2 km NNW of The Geysers, CA",1699574010710,1699574531658,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960686,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960686&format=geojson,,,,,automatic,0,7,nc,73960686,",nc73960686,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.009218,0.02,76.0,md,earthquake,"M 0.7 - 2 km NNW of The Geysers, CA"
1.5,"38 km WSW of Mentone, Texas",1699573142754,1699575826892,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023vzvu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023vzvu&format=geojson,,,,,automatic,0,35,tx,2023vzvu,",tx2023vzvu,",",tx,",",origin,phase-data,",15.0,0.0,0.2,82.0,ml(texnet),earthquake,"M 1.5 - 38 km WSW of Mentone, Texas"
2.23000002,"8 km ENE of Pāhala, Hawaii",1699572964970,1699573166570,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73642497,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73642497&format=geojson,,,,,automatic,0,77,hv,73642497,",hv73642497,",",hv,",",origin,phase-data,",36.0,,0.119999997,150.0,md,earthquake,"M 2.2 - 8 km ENE of Pāhala, Hawaii"
0.27,"7 km W of Cobb, CA",1699572653460,1699573210375,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960676,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960676&format=geojson,,,,,automatic,0,1,nc,73960676,",nc73960676,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.01043,0.01,74.0,md,earthquake,"M 0.3 - 7 km W of Cobb, CA"
1.4,"13 km SE of Bodfish, CA",1699572610700,1699577838252,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39710994,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39710994&format=geojson,,,,,reviewed,0,30,ci,39710994,",ci39710994,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",31.0,0.1787,0.14,66.0,ml,earthquake,"M 1.4 - 13 km SE of Bodfish, CA"
2.33,"7 km SE of Volcano, Hawaii",1699572308390,1699583789460,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73642492,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73642492&format=geojson,,,,,reviewed,0,84,hv,73642492,",hv73642492,",",hv,",",origin,phase-data,",46.0,,0.11,81.0,md,earthquake,"M 2.3 - 7 km SE of Volcano, Hawaii"
0.8,"39 km SSE of Goldfield, Nevada",1699572282336,1699579307478,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00868715,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00868715&format=geojson,,,,,reviewed,0,10,nn,00868715,",nn00868715,",",nn,",",origin,phase-data,",13.0,0.178,0.1375,207.08,ml,earthquake,"M 0.8 - 39 km SSE of Goldfield, Nevada"
1.28,"8 km NNW of Mill Creek, Oklahoma",1699571152070,1699623093917,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2023vzur,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2023vzur&format=geojson,,,,,reviewed,0,25,ok,2023vzur,",ok2023vzur,",",ok,",",origin,phase-data,",37.0,0.2636482632,0.56,112.0,ml,quarry blast,"M 1.3 Quarry Blast - 8 km NNW of Mill Creek, Oklahoma"
0.22,"8 km WNW of Cobb, CA",1699570902600,1699571770235,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960666,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960666&format=geojson,,,,,automatic,0,1,nc,73960666,",nc73960666,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.0104,0.02,87.0,md,earthquake,"M 0.2 - 8 km WNW of Cobb, CA"
1.09,Washington,1699570731220,1699681049160,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61971546,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61971546&format=geojson,,,,,reviewed,0,18,uw,61971546,",uw61971546,",",uw,",",origin,phase-data,",6.0,0.0498,0.02,168.0,ml,earthquake,M 1.1 - Washington
0.3,"6 km WNW of The Geysers, CA",1699569696230,1699617070668,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73960661,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73960661&format=geojson,,,,,reviewed,0,1,nc,73960661,",nc73960661,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.01103,0.02,60.0,md,earthquake,"M 0.3 - 6 km WNW of The Geysers, CA"
